OnsetTime	OffsetTime	MidiPitch
0.519987	1.14699	67
1.115	1.741	65
1.71999	2.329	70
2.306	2.82	72
2.598	2.911	77
2.89	4.02299	74
3.474	4.02299	72
3.76499	4.083	77
4.05499	4.68099	74
4.65699	5.276	70
5.255	5.88199	72
5.855	6.48101	67
6.46001	7.09004	65
7.09004	7.68803	58
7.09303	7.68903	67
7.09303	7.68903	62
7.09403	7.69203	43
7.09702	7.69203	55
7.69304	8.28703	60
7.69503	8.28802	57
7.69503	8.28802	65
7.69603	8.29002	45
7.69903	8.29002	53
8.29102	8.87102	62
8.29102	8.87202	58
8.29401	8.87401	70
8.29401	8.87502	43
8.29502	8.87801	55
8.87902	9.47001	60
8.87902	9.38201	72
8.87902	9.47001	69
8.88101	9.47001	41
8.88201	9.47402	53
9.16902	9.47402	77
9.47702	10.062	69
9.47702	10.062	74
9.47702	10.065	65
9.48002	10.065	38
9.48101	10.066	50
